GlobalAverageWaitingTime,GlobalAverageDockTime,GlobalAverageUnloadingTime,GlobalAverageLoadingTime,GlobalAverageUndockTime,DockingBay0_AverageWaitingTime,DockingBay0_AverageDockTime,DockingBay0_AverageUnloadingTime,DockingBay0_AverageLoadingTime,DockingBay0_AverageUndockTime
669.64044634171,20251.939941592023,20482.28957092948,20360.450676246397,20372.20102788818,669.64044634171,20251.939941592023,20482.28957092948,20360.450676246397,20372.20102788818
621.727327723086,18498.955987414683,18702.53906294201,18902.29910802408,18914.890888787846,621.727327723086,18498.955987414683,18702.53906294201,18902.29910802408,18914.890888787846
269.82722940496285,20313.72293748375,20535.117141601266,20114.34231534478,20128.186819066785,269.82722940496285,20313.72293748375,20535.117141601266,20114.34231534478,20128.186819066785
796.7718330174002,21014.644623905668,21220.12115512289,21410.284130517062,21166.332212296802,796.7718330174002,21014.644623905668,21220.12115512289,21410.284130517062,21166.332212296802
499.79075778395065,21532.04715940989,21714.644026294074,21915.31431013864,21678.283217782504,499.79075778395065,21532.04715940989,21714.644026294074,21915.31431013864,21678.283217782504
947.0212647441539,18175.08246187875,18382.364726908945,18579.058257619407,18405.601724763033,947.0212647441539,18175.08246187875,18382.364726908945,18579.058257619407,18405.601724763033
417.96722548673324,16609.320096328862,16838.73899909567,16695.85781434734,16707.996824543265,417.96722548673324,16609.320096328862,16838.73899909567,16695.85781434734,16707.996824543265
975.2636960595264,19586.235281433215,19807.220503196702,20014.00306225796,19762.09122286479,975.2636960595264,19586.235281433215,19807.220503196702,20014.00306225796,19762.09122286479
458.2233600001456,19874.226526796127,20088.10382463534,20002.116877975965,20013.15538001945,458.2233600001456,19874.226526796127,20088.10382463534,20002.116877975965,20013.15538001945
1268.2775076395449,18296.767301557524,18492.11990702369,18502.424523138372,18514.714715234095,1268.2775076395449,18296.767301557524,18492.11990702369,18502.424523138372,18514.714715234095
454.3993816299084,20532.348387184054,20726.79971306508,20925.71754839836,20694.68306470849,454.3993816299084,20532.348387184054,20726.79971306508,20925.71754839836,20694.68306470849
807.6585582468667,17610.174688326297,17809.04370141612,17814.930128814634,17825.818230081535,807.6585582468667,17610.174688326297,17809.04370141612,17814.930128814634,17825.818230081535
894.4375104148138,17280.431954782533,17478.77295492834,17678.75677255477,17438.842043619064,894.4375104148138,17280.431954782533,17478.77295492834,17678.75677255477,17438.842043619064
762.2379342945085,17160.26159885412,17358.078825312678,17554.427094108116,17308.8940806084,762.2379342945085,17160.26159885412,17358.078825312678,17554.427094108116,17308.8940806084
560.8865445576519,17697.068074577153,17926.748325861383,18143.19826512494,17496.471531777162,560.8865445576519,17697.068074577153,17926.748325861383,18143.19826512494,17496.471531777162
877.791826039588,19772.01293303636,20002.908694903457,20194.350625779956,19851.29411404555,877.791826039588,19772.01293303636,20002.908694903457,20194.350625779956,19851.29411404555
557.6231977980614,21824.810083043918,22022.558836584398,22223.875724659232,21947.750809785426,557.6231977980614,21824.810083043918,22022.558836584398,22223.875724659232,21947.750809785426
1465.825607194938,20371.120528096857,20578.997434741064,20101.644147744508,20115.356843649908,1465.825607194938,20371.120528096857,20578.997434741064,20101.644147744508,20115.356843649908
970.1053099842021,19210.88606779235,19421.590531072205,19427.180121678863,19441.563199713448,970.1053099842021,19210.88606779235,19421.590531072205,19427.180121678863,19441.563199713448
